effect_id,analysis_id,row_kind,study_label,version,effect_measure,effect,ci_lower,ci_upper,se,variance,weight_pct,n_treatment,n_control,events_treatment,events_control,subgroup,timepoint,source_page,source_type,source_table,source_figure,row_label,effect_norm,ci_lower_norm,ci_upper_norm,certainty,supersedes,note
F5-VCS,A4a,STUDY,Varley Campbell 2017 NW + Snack,AS_PUBLISHED,MD,-83.00,-276.64,110.64,98.8,,2.8,38,38,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Normalweight,NOT_APPLICABLE,24,FOREST_PLOT,,Fig 5,Varley Campbell 2017 NW + Snack,-83.00,-276.64,110.64,KNOWN,,"rounding variant: Figs 2/3/4/7 print SE 98.81, CI [-276.66, 110.66] (HAH-CON-04); zoom-verified by both passes"
F5-S1,A4a,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,-3.58,-50.03,42.88,,,42.4,368,222,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Normalweight,NOT_APPLICABLE,24,FOREST_PLOT,,Fig 5,Subtotal (95% CI),-3.58,-50.03,42.88,KNOWN,,"Tau2=0.00; Chi2=11.10, df=15 (P=0.75); I2=0%; Z=0.15 (P=0.88)"
F5-S2,A4b,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,27.55,-53.93,109.03,,,57.6,412,256,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 Overweight or Obese,NOT_APPLICABLE,24,FOREST_PLOT,,Fig 5,Subtotal (95% CI),27.55,-53.93,109.03,KNOWN,,"Tau2=26862.64; Chi2=78.09, df=24 (P<0.00001); I2=69%; Z=0.66 (P=0.51)"
F5-TOT,A4tot,OVERALL_TOTAL,Total (95% CI),AS_PUBLISHED,MD,23.31,-27.54,74.15,,,100.0,780,478,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,24,FOREST_PLOT,,Fig 5,Total (95% CI),23.31,-27.54,74.15,KNOWN,,"Tau2=13953.65; Chi2=92.56, df=40 (P<0.00001); I2=57%; Z=0.90 (P=0.37); subgroup diff: Chi2=0.42, df=1 (P=0.52), I2=0%"
F6-01,A5a,STUDY,Ajibewa 2017 NW 75% jumping jacks,AS_PUBLISHED,MD,-17.00,-154.32,120.32,70.06,,8.1,25,25,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 High Intensity Exercise - Normalweight,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Ajibewa 2017 NW 75% jumping jacks,-17.00,-154.32,120.32,KNOWN,,"matches Fig 4 recomputed values (control unsplit), not Fig 2"
F6-02,A5a,STUDY,Fearnbach Masterson 2016 NW 30min cycling,AS_PUBLISHED,MD,-83.00,-172.41,6.41,45.62,,8.9,20,20,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 High Intensity Exercise - Normalweight,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Fearnbach Masterson 2016 NW 30min cycling,-83.00,-172.41,6.41,KNOWN,,
F6-03,A5a,STUDY,Morris 2018 NW 22min HIIT,AS_PUBLISHED,MD,8.00,-144.09,160.09,77.6,,7.8,10,10,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 High Intensity Exercise - Normalweight,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Morris 2018 NW 22min HIIT,8.00,-144.09,160.09,KNOWN,,
F6-04,A5a,STUDY,Nemet 2010 NW 45min aerobic,AS_PUBLISHED,MD,26.00,-84.37,136.37,56.31,,8.6,22,22,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 High Intensity Exercise - Normalweight,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Nemet 2010 NW 45min aerobic,26.00,-84.37,136.37,KNOWN,,"matches Fig 4 recomputed values, not Fig 2"
F6-05,A5a,STUDY,Thivel 2014 NW 30min,AS_PUBLISHED,MD,-12.00,-221.72,197.72,107,,6.6,9,9,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 High Intensity Exercise - Normalweight,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Thivel 2014 NW 30min,-12.00,-221.72,197.72,KNOWN,,
F6-07,A5b,STUDY,Ajibewa 2017 OB 75%,AS_PUBLISHED,MD,-116.00,-304.90,72.90,96.38,,7.0,13,13,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Ajibewa 2017 OB 75%,-116.00,-304.90,72.90,KNOWN,,"matches Fig 4 recomputed values, not Fig 2"
F6-08,A5b,STUDY,Miguet 2018 OB 15min HIIT,AS_PUBLISHED,MD,115.00,-43.86,273.86,81.05,,7.6,33,33,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Miguet 2018 OB 15min HIIT,115.00,-43.86,273.86,KNOWN,,
F6-09,A5b,STUDY,Nemet 2010 OW 45min aerobic,AS_PUBLISHED,MD,-129.00,-268.02,10.02,70.93,,8.0,22,22,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Nemet 2010 OW 45min aerobic,-129.00,-268.02,10.02,KNOWN,,"matches Fig 4 recomputed values, not Fig 2"
F6-10,A5b,STUDY,Thivel 2012 OB 75%,AS_PUBLISHED,MD,222.00,-129.21,573.21,179.19,,4.3,15,15,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Thivel 2012 OB 75%,222.00,-129.21,573.21,KNOWN,,"matches Fig 4 recomputed values, not Fig 2"
F6-11,A5b,STUDY,Thivel 2013 OB 30min 75%,AS_PUBLISHED,MD,480.00,254.13,705.87,115.24,,6.3,10,10,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Thivel 2013 OB 30min 75%,480.00,254.13,705.87,KNOWN,,"rounding variant: Figs 2/3/4/5/7 print SE 115.25, CI [254.11, 705.89] (HAH-CON-05); zoom-verified by both passes"
F6-12,A5b,STUDY,Thivel 2015 OW 60min rugby,AS_PUBLISHED,MD,-240.00,-478.49,-1.51,121.68,,6.1,14,7,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Thivel 2015 OW 60min rugby,-240.00,-478.49,-1.51,KNOWN,,"matches Fig 2, NOT the swapped Fig 4 values (HAH-CON-01)"
F6-13,A5b,STUDY,Thivel 2015 OW 75%,AS_PUBLISHED,MD,-395.00,-675.18,-114.82,142.95,,5.3,14,7,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Thivel 2015 OW 75%,-395.00,-675.18,-114.82,KNOWN,,"matches Fig 2, NOT the swapped Fig 4 values (HAH-CON-01)"
F6-14,A5b,STUDY,Thivel Rousset 2011 OB 30min cycling,AS_PUBLISHED,MD,279.00,153.95,404.05,63.8,,8.3,12,12,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Thivel Rousset 2011 OB 30min cycling,279.00,153.95,404.05,KNOWN,,
F6-15,A5b,STUDY,Thivel Taillardat 2011 OB 30min,AS_PUBLISHED,MD,232.00,45.14,418.86,95.34,,7.1,14,14,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Thivel Taillardat 2011 OB 30min,232.00,45.14,418.86,KNOWN,,
F6-S1,A5a,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,-27.82,-83.19,27.54,,,39.9,86,86,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 High Intensity Exercise - Normalweight,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Subtotal (95% CI),-27.82,-83.19,27.54,KNOWN,,"Tau2=0.00; Chi2=2.64, df=4 (P=0.62); I2=0%; Z=0.98 (P=0.32)"
F6-S2,A5b,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,53.21,-114.73,221.16,,,60.1,147,133,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 High Intensity Exercise - Overweight or Obese,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Subtotal (95% CI),53.21,-114.73,221.16,KNOWN,,"Tau2=54271.12; Chi2=55.90, df=8 (P<0.00001); I2=86%; Z=0.62 (P=0.53)"
F6-TOT,A5tot,OVERALL_TOTAL,Total (95% CI),AS_PUBLISHED,MD,27.25,-69.66,124.15,,,100.0,233,219,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,25,FOREST_PLOT,,Fig 6,Total (95% CI),27.25,-69.66,124.15,KNOWN,,"Tau2=25410.35; Chi2=64.90, df=13 (P<0.00001); I2=80%; Z=0.55 (P=0.58); subgroup diff: Chi2=0.81, df=1 (P=0.37), I2=0%; differs from Fig 4 subtotal of the same 14 arms (HAH-CON-02)"
F7-ROWS,A6a;A6b,STUDY,(41 study rows),AS_PUBLISHED,MD,,,,,,,780,478,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,26,FOREST_PLOT,,Fig 7,(41 study rows),,,,KNOWN,,"study rows identical to Fig 2 except noted variants (none in Fig 7: all 41 rows, incl. Varley Campbell + Snack at SE 98.81 / CI [-276.66, 110.66], match Fig 2 in MD/SE/CI/n/weight); 22 rows under 13 years (Ajibewa x6, Bozinosvki x2, Fearnbach Masterson, Fillon 2020 x2, Fillon Beaulieu, Morris, Nemet x6, Saunders x2, Thivel 2020); 19 rows at or over 13 (Fearnbach 2016, Fearnbach Silvert x2, Fillon Mathieu x2, Masurier x2, Miguet, Thivel 2012 x2, Thivel 2013, Thivel 2014, Thivel 2015 x2, Thivel 2017, Thivel Rousset, Thivel Taillardat, Varley Campbell x2)"
F7-S1,A6a,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,-1.18,-46.17,43.81,,,51.3,441,205,NOT_APPLICABLE,NOT_APPLICABLE,1.2.1 Age under 13 years,NOT_APPLICABLE,26,FOREST_PLOT,,Fig 7,Subtotal (95% CI),-1.18,-46.17,43.81,KNOWN,,"Tau2=0.00; Chi2=17.62, df=21 (P=0.67); I2=0%; Z=0.05 (P=0.96)"
F7-S2,A6b,SUBGROUP_TOTAL,Subtotal (95% CI),AS_PUBLISHED,MD,32.24,-59.93,124.40,,,48.7,339,273,NOT_APPLICABLE,NOT_APPLICABLE,1.2.2 Age at or over 13 years,NOT_APPLICABLE,26,FOREST_PLOT,,Fig 7,Subtotal (95% CI),32.24,-59.93,124.40,KNOWN,,"Tau2=28545.01; Chi2=71.69, df=18 (P<0.00001); I2=75%; Z=0.69 (P=0.49)"
F7-TOT,A6tot,OVERALL_TOTAL,Total (95% CI),AS_PUBLISHED,MD,23.31,-27.54,74.15,,,100.0,780,478,NOT_APPLICABLE,NOT_APPLICABLE,,NOT_APPLICABLE,26,FOREST_PLOT,,Fig 7,Total (95% CI),23.31,-27.54,74.15,KNOWN,,"heterogeneity identical to Fig 2; Z=0.90 (P=0.37); subgroup diff: Chi2=0.41, df=1 (P=0.52), I2=0%"
